,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
541,541,2022-09-30,12200001,Final,1610612764,1610612744,2022,1610612764,87.0,0.369,0.633,0.171,20.0,44.0,1610612744,96.0,0.367,0.775,0.269,18.0,62.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,540,2022-10-01,12200003,Final,1610612749,1610612763,2022,1610612749,102.0,0.43,0.714,0.351,22.0,50.0,1610612763,107.0,0.494,0.724,0.357,25.0,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,539,2022-10-02,12200007,Final,1610612745,1610612759,2022,1610612745,134.0,0.546,0.545,0.457,32.0,60.0,1610612759,96.0,0.355,0.655,0.262,21.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,538,2022-10-02,12200006,Final,1610612761,1610612762,2022,1610612761,114.0,0.483,0.667,0.375,20.0,61.0,1610612762,82.0,0.323,0.588,0.25,21.0,46.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,537,2022-10-02,12200005,Final,1610612738,1610612766,2022,1610612738,134.0,0.571,0.8,0.468,41.0,56.0,1610612766,93.0,0.347,0.643,0.152,13.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,536,2022-10-02,12200004,Final,1610612744,1610612764,2022,1610612744,104.0,0.458,0.667,0.41,29.0,47.0,1610612764,95.0,0.353,0.9,0.242,23.0,46.0,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,9.0,9.0,2.0,96.0,1.0,0.0,-9.0,-9.0,1.0,87.0,0.0,1.0
535,535,2022-10-03,12200013,Final,1610612746,1610612757,2022,1610612746,102.0,0.383,0.758,0.395,21.0,44.0,1610612757,97.0,0.397,0.771,0.286,18.0,46.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,534,2022-10-03,12200012,Final,1610612747,1610612758,2022,1610612747,75.0,0.312,0.625,0.233,17.0,49.0,1610612758,105.0,0.408,0.632,0.231,25.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,533,2022-10-03,12200011,Final,1610612743,1610612760,2022,1610612743,101.0,0.411,0.739,0.303,20.0,43.0,1610612760,112.0,0.488,0.68,0.371,25.0,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,532,2022-10-03,12200010,Final,1610612763,1610612753,2022,1610612763,109.0,0.439,0.794,0.278,27.0,50.0,1610612753,97.0,0.393,0.692,0.333,23.0,38.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,531,2022-10-03,12200009,Final,1610612751,1610612755,2022,1610612751,108.0,0.462,0.735,0.333,25.0,43.0,1610612755,127.0,0.407,0.96,0.341,26.0,56.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,530,2022-10-04,12200017,Final,1610612757,1610612762,2022,1610612757,101.0,0.444,0.621,0.344,21.0,38.0,1610612762,118.0,0.481,0.676,0.455,24.0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,1.0,97.0,0.0,1.0,-32.0,-32.0,1.0,82.0,0.0,1.0
529,529,2022-10-04,12200016,Final,1610612741,1610612740,2022,1610612741,125.0,0.483,0.882,0.333,27.0,46.0,1610612740,129.0,0.495,0.722,0.297,29.0,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,528,2022-10-04,12200015,Final,1610612748,1610612750,2022,1610612748,111.0,0.429,0.944,0.286,25.0,49.0,1610612750,121.0,0.513,0.743,0.394,22.0,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,527,2022-10-04,12200014,Final,1610612752,1610612765,2022,1610612752,117.0,0.511,0.733,0.378,27.0,42.0,1610612765,96.0,0.407,0.739,0.31,19.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,526,2022-10-05,12200022,Final,1610612747,1610612756,2022,1610612747,115.0,0.427,0.727,0.317,26.0,47.0,1610612756,119.0,0.371,0.848,0.317,21.0,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-30.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
525,525,2022-10-05,12200021,Final,1610612760,1610612742,2022,1610612760,96.0,0.4,0.765,0.188,17.0,45.0,1610612742,98.0,0.427,0.938,0.317,20.0,44.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,524,2022-10-05,12200020,Final,1610612738,1610612761,2022,1610612738,119.0,0.444,0.714,0.308,31.0,45.0,1610612761,125.0,0.459,0.72,0.219,22.0,59.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,2.0,134.0,1.0,0.0,32.0,32.0,2.0,114.0,1.0,0.0
523,523,2022-10-05,12200019,Final,1610612755,1610612739,2022,1610612755,113.0,0.479,0.75,0.29,26.0,46.0,1610612739,112.0,0.462,0.737,0.424,22.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,2.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
