,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,labeled Home,labeled Away,Basket_Average_Home,Dif_Home,Basket_Average_Away,Dif_Away
6638,542,2022-06-16,42100406,Final,1610612738,1610612744,2021,1610612738,90.0,0.425,0.917,0.393,27.0,41.0,1610612744,103.0,0.413,1.0,0.413,27.0,44.0,0,1,7,0.0,0.0,0.0,0.0
6637,543,2022-06-13,42100405,Final,1610612744,1610612738,2021,1610612744,104.0,0.466,0.867,0.225,23.0,39.0,1610612738,94.0,0.413,0.677,0.344,18.0,47.0,1,7,1,-6.0,-6.0,12.0,12.0
6636,544,2022-06-10,42100404,Final,1610612738,1610612744,2021,1610612738,97.0,0.4,0.737,0.395,22.0,42.0,1610612744,107.0,0.44,0.8,0.349,20.0,55.0,0,1,7,10.0,-2.0,-11.0,-5.0
6635,545,2022-06-08,42100403,Final,1610612738,1610612744,2021,1610612738,116.0,0.483,0.708,0.371,28.0,47.0,1610612744,100.0,0.462,0.867,0.375,22.0,31.0,1,1,7,12.333333333333343,2.333333333333343,3.3333333333333286,14.333333333333329
6634,546,2022-06-05,42100402,Final,1610612744,1610612738,2021,1610612744,107.0,0.453,0.7,0.405,25.0,42.0,1610612738,88.0,0.375,0.765,0.405,24.0,43.0,1,7,1,5.25,1.9166666666666714,11.25,-1.0833333333333428
6633,547,2022-06-02,42100401,Final,1610612744,1610612738,2021,1610612744,108.0,0.443,0.733,0.422,24.0,39.0,1610612738,120.0,0.506,0.813,0.512,33.0,39.0,0,7,1,4.0,-1.25,8.399999999999991,-2.8500000000000085
6632,548,2022-05-29,42100307,Final,1610612748,1610612738,2021,1610612748,96.0,0.42,0.667,0.2,16.0,44.0,1610612738,100.0,0.412,0.792,0.344,22.0,51.0,0,11,1,0.0,0.0,5.666666666666671,-2.73333333333332
6631,549,2022-05-27,42100306,Final,1610612738,1610612748,2021,1610612738,103.0,0.444,0.903,0.333,22.0,34.0,1610612748,111.0,0.462,0.96,0.429,25.0,37.0,0,1,11,6.285714285714278,0.6190476190476062,6.0,6.0
6630,550,2022-05-26,42100315,Final,1610612744,1610612742,2021,1610612744,120.0,0.511,1.0,0.389,36.0,51.0,1610612742,110.0,0.451,0.76,0.405,22.0,34.0,1,7,5,4.666666666666671,0.6666666666666714,0.0,0.0
6629,551,2022-05-25,42100305,Final,1610612748,1610612738,2021,1610612748,80.0,0.319,0.929,0.156,14.0,49.0,1610612738,93.0,0.465,0.739,0.303,24.0,46.0,0,11,1,-6.5,-12.5,8.125,1.8392857142857224
6628,552,2022-05-24,42100314,Final,1610612742,1610612744,2021,1610612742,119.0,0.5,0.773,0.465,30.0,45.0,1610612744,109.0,0.488,0.654,0.357,26.0,42.0,1,5,7,2.0,2.0,2.5714285714285694,-2.095238095238102
6627,553,2022-05-23,42100304,Final,1610612738,1610612748,2021,1610612738,102.0,0.397,0.842,0.235,21.0,60.0,1610612748,82.0,0.333,0.571,0.389,22.0,39.0,1,1,11,8.0,-0.125,-5.333333333333343,1.1666666666666572
6626,554,2022-05-22,42100313,Final,1610612742,1610612744,2021,1610612742,100.0,0.4,0.794,0.289,18.0,33.0,1610612744,109.0,0.469,0.88,0.344,28.0,47.0,0,5,7,24.5,22.5,6.0,3.4285714285714306
6625,555,2022-05-21,42100303,Final,1610612738,1610612748,2021,1610612738,103.0,0.486,0.767,0.375,21.0,44.0,1610612748,109.0,0.467,0.857,0.333,22.0,34.0,0,1,11,7.799999999999997,-0.20000000000000284,-3.25,2.083333333333343
6624,556,2022-05-20,42100312,Final,1610612744,1610612742,2021,1610612744,126.0,0.561,0.8,0.5,33.0,43.0,1610612742,117.0,0.474,0.759,0.467,22.0,30.0,1,7,5,5.888888888888886,-0.11111111111111427,8.666666666666657,-15.833333333333343
6623,557,2022-05-19,42100302,Final,1610612748,1610612738,2021,1610612748,102.0,0.442,0.727,0.294,21.0,42.0,1610612738,127.0,0.512,0.913,0.5,28.0,41.0,0,11,1,-2.200000000000003,1.0499999999999972,8.36363636363636,0.5636363636363626
6622,558,2022-05-18,42100311,Final,1610612744,1610612742,2021,1610612744,112.0,0.561,0.625,0.345,24.0,51.0,1610612742,87.0,0.36,0.667,0.229,14.0,35.0,1,7,5,5.599999999999994,-0.2888888888888914,7.25,-1.4166666666666572
6621,559,2022-05-17,42100301,Final,1610612748,1610612738,2021,1610612748,118.0,0.488,0.882,0.333,18.0,39.0,1610612738,107.0,0.456,0.75,0.324,22.0,38.0,1,11,1,-5.833333333333329,-3.6333333333333258,9.916666666666657,1.5530303030302974
