Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
D1,05/08/2022,Ein Frankfurt,Bayern Munich,1,6,0,5,8,23,2,10,2,0,0,0,A
D1,06/08/2022,Augsburg,Freiburg,0,4,0,0,10,19,2,7,0,0,0,0,A
D1,06/08/2022,Bochum,Mainz,1,2,1,1,16,13,3,6,2,3,0,0,A
D1,06/08/2022,M'gladbach,Hoffenheim,3,1,1,1,18,2,8,1,1,4,0,1,H
D1,06/08/2022,Union Berlin,Hertha,3,1,1,0,18,9,8,3,2,3,0,0,H
D1,06/08/2022,Wolfsburg,Werder Bremen,2,2,1,2,13,10,3,5,2,2,0,0,D
D1,06/08/2022,Dortmund,Leverkusen,1,0,1,0,13,8,4,3,2,4,0,1,H
D1,07/08/2022,Stuttgart,RB Leipzig,1,1,1,1,11,27,2,9,2,1,0,0,D
D1,07/08/2022,FC Koln,Schalke 04,3,1,0,0,30,6,10,2,0,1,0,1,H
D1,12/08/2022,Freiburg,Dortmund,1,3,1,0,16,16,7,7,1,3,0,0,A
D1,13/08/2022,Hertha,Ein Frankfurt,1,1,1,0,11,11,5,1,3,1,0,0,D
D1,13/08/2022,Hoffenheim,Bochum,3,2,2,2,24,11,13,5,1,1,0,0,H
D1,13/08/2022,Leverkusen,Augsburg,1,2,1,1,23,6,10,4,1,6,0,0,A
D1,13/08/2022,RB Leipzig,FC Koln,2,2,1,1,9,12,5,3,1,4,1,0,D
D1,13/08/2022,Werder Bremen,Stuttgart,2,2,1,1,5,14,3,7,4,2,0,0,D
D1,13/08/2022,Schalke 04,M'gladbach,2,2,1,0,14,14,5,9,4,2,0,0,D
D1,14/08/2022,Mainz,Union Berlin,0,0,0,0,10,10,5,2,1,0,0,0,D
D1,14/08/2022,Bayern Munich,Wolfsburg,2,0,2,0,24,7,8,1,2,1,0,0,H
D1,19/08/2022,M'gladbach,Hertha,1,0,1,0,11,18,6,5,1,2,0,1,H
D1,20/08/2022,Augsburg,Mainz,1,2,1,1,6,14,2,7,2,2,0,0,A
D1,20/08/2022,Dortmund,Werder Bremen,2,3,1,0,5,14,3,7,4,1,0,0,A
D1,20/08/2022,Leverkusen,Hoffenheim,0,3,0,2,14,10,3,5,1,4,0,0,A
D1,20/08/2022,Stuttgart,Freiburg,0,1,0,1,18,9,5,3,4,2,0,0,A
D1,20/08/2022,Wolfsburg,Schalke 04,0,0,0,0,16,9,6,2,1,3,0,0,D
D1,20/08/2022,Union Berlin,RB Leipzig,2,1,2,0,9,16,4,2,2,1,0,0,H
D1,21/08/2022,Ein Frankfurt,FC Koln,1,1,0,0,10,6,3,2,0,1,0,0,D
D1,21/08/2022,Bochum,Bayern Munich,0,7,0,4,13,22,7,12,1,0,0,0,A
D1,26/08/2022,Freiburg,Bochum,1,0,0,0,28,15,12,5,2,2,0,0,H
D1,27/08/2022,Hertha,Dortmund,0,1,0,1,12,24,3,7,1,0,0,0,A
D1,27/08/2022,Hoffenheim,Augsburg,1,0,1,0,24,12,6,1,1,1,0,0,H
D1,27/08/2022,Mainz,Leverkusen,0,3,0,3,17,7,3,5,1,6,0,2,A
D1,27/08/2022,RB Leipzig,Wolfsburg,2,0,1,0,16,9,7,4,3,3,0,0,H
D1,27/08/2022,Schalke 04,Union Berlin,1,6,1,3,12,12,4,7,1,0,0,0,A
D1,27/08/2022,Bayern Munich,M'gladbach,1,1,0,1,35,5,20,3,4,2,0,0,D
D1,28/08/2022,FC Koln,Stuttgart,0,0,0,0,6,13,2,5,2,2,0,1,D
D1,28/08/2022,Werder Bremen,Ein Frankfurt,3,4,2,3,10,12,4,7,1,3,0,0,A
D1,02/09/2022,Dortmund,Hoffenheim,1,0,1,0,16,7,5,2,3,4,0,0,H
D1,03/09/2022,Bochum,Werder Bremen,0,2,0,0,19,16,6,6,2,2,0,0,A
D1,03/09/2022,Leverkusen,Freiburg,2,3,1,0,15,5,6,3,2,2,0,0,A
D1,03/09/2022,Stuttgart,Schalke 04,1,1,1,1,13,13,3,4,4,2,1,0,D
D1,03/09/2022,Union Berlin,Bayern Munich,1,1,1,1,10,21,3,6,1,2,0,0,D
D1,03/09/2022,Wolfsburg,FC Koln,2,4,1,3,9,18,3,5,2,1,0,0,A
D1,03/09/2022,Ein Frankfurt,RB Leipzig,4,0,2,0,14,5,9,0,1,1,0,0,H
D1,04/09/2022,Augsburg,Hertha,0,2,0,0,8,16,2,6,2,1,0,0,A
D1,04/09/2022,M'gladbach,Mainz,0,1,0,0,13,12,3,5,1,4,1,0,A
D1,09/09/2022,Werder Bremen,Augsburg,0,1,0,0,11,14,6,5,4,5,0,0,A
D1,10/09/2022,Bayern Munich,Stuttgart,2,2,1,0,18,8,7,3,2,5,0,0,D
D1,10/09/2022,Ein Frankfurt,Wolfsburg,0,1,0,0,11,6,0,3,2,4,0,0,A
D1,10/09/2022,Hertha,Leverkusen,2,2,0,0,17,11,6,5,3,1,0,0,D
D1,10/09/2022,Hoffenheim,Mainz,4,1,0,0,21,10,9,2,3,2,0,1,H
D1,10/09/2022,RB Leipzig,Dortmund,3,0,2,0,14,4,5,0,2,1,0,0,H
D1,10/09/2022,Schalke 04,Bochum,3,1,1,0,20,9,8,2,2,3,0,0,H
D1,11/09/2022,FC Koln,Union Berlin,0,1,0,1,7,12,2,3,4,1,1,0,A
D1,11/09/2022,Freiburg,M'gladbach,0,0,0,0,13,14,8,5,1,1,0,0,D
D1,16/09/2022,Mainz,Hertha,1,1,0,1,12,4,2,2,3,5,0,0,D
D1,17/09/2022,Augsburg,Bayern Munich,1,0,0,0,9,21,4,7,3,1,0,0,H
D1,17/09/2022,Dortmund,Schalke 04,1,0,0,0,19,3,7,0,3,2,0,0,H
D1,17/09/2022,Leverkusen,Werder Bremen,1,1,0,0,19,19,7,7,2,3,0,0,D
D1,17/09/2022,Stuttgart,Ein Frankfurt,1,3,0,1,15,13,2,8,2,0,0,0,A
D1,17/09/2022,M'gladbach,RB Leipzig,3,0,2,0,21,13,10,6,2,2,0,0,H
D1,18/09/2022,Union Berlin,Wolfsburg,2,0,0,0,16,5,4,0,0,0,0,0,H
D1,18/09/2022,Bochum,FC Koln,1,1,1,0,7,18,0,3,0,1,0,0,D
D1,18/09/2022,Hoffenheim,Freiburg,0,0,0,0,10,14,3,4,1,2,0,0,D
D1,30/09/2022,Bayern Munich,Leverkusen,4,0,3,0,20,10,10,5,0,0,0,0,H
D1,01/10/2022,Ein Frankfurt,Union Berlin,2,0,2,0,14,14,4,5,3,4,1,0,H
D1,01/10/2022,FC Koln,Dortmund,3,2,0,1,20,21,16,13,4,3,0,0,H
D1,01/10/2022,Freiburg,Mainz,2,1,2,0,13,17,6,7,2,4,0,0,H
D1,01/10/2022,RB Leipzig,Bochum,4,0,2,0,17,2,9,1,0,2,0,0,H
D1,01/10/2022,Wolfsburg,Stuttgart,3,2,2,2,20,15,7,7,3,5,0,0,H
D1,01/10/2022,Werder Bremen,M'gladbach,5,1,4,0,14,13,9,9,0,1,0,0,H
D1,02/10/2022,Hertha,Hoffenheim,1,1,1,1,13,16,5,4,2,1,0,0,D
D1,02/10/2022,Schalke 04,Augsburg,2,3,1,2,16,11,5,5,2,6,0,1,A
D1,07/10/2022,Hoffenheim,Werder Bremen,1,2,1,1,16,8,6,3,3,3,0,0,A
D1,08/10/2022,Augsburg,Wolfsburg,1,1,0,1,18,12,5,7,5,3,0,0,D
D1,08/10/2022,Bochum,Ein Frankfurt,3,0,0,0,11,11,6,2,2,1,0,0,H
D1,08/10/2022,Leverkusen,Schalke 04,4,0,2,0,13,2,7,1,1,1,0,0,H
D1,08/10/2022,Mainz,RB Leipzig,1,1,1,0,9,12,3,3,1,1,0,0,D
D1,08/10/2022,Dortmund,Bayern Munich,2,2,0,1,13,9,6,3,3,6,0,1,D
D1,09/10/2022,M'gladbach,FC Koln,5,2,2,1,13,5,6,3,2,3,0,1,H
D1,09/10/2022,Hertha,Freiburg,2,2,1,1,11,10,3,4,2,1,0,0,D
D1,09/10/2022,Stuttgart,Union Berlin,0,1,0,0,9,7,3,4,3,3,1,0,A
D1,14/10/2022,Schalke 04,Hoffenheim,0,3,0,2,14,18,2,7,2,2,0,0,A
D1,15/10/2022,Ein Frankfurt,Leverkusen,5,1,1,0,20,5,11,2,0,4,0,1,H
D1,15/10/2022,Stuttgart,Bochum,4,1,2,1,16,14,7,4,0,3,0,0,H
D1,15/10/2022,Werder Bremen,Mainz,0,2,0,1,14,11,4,5,1,2,0,0,A
D1,15/10/2022,Wolfsburg,M'gladbach,2,2,1,1,16,10,4,5,3,3,0,0,D
D1,15/10/2022,RB Leipzig,Hertha,3,2,3,0,14,16,5,5,2,3,0,0,H
D1,16/10/2022,FC Koln,Augsburg,3,2,0,1,14,7,6,3,2,4,0,0,H
D1,16/10/2022,Union Berlin,Dortmund,2,0,2,0,14,13,5,6,1,2,0,0,H
D1,16/10/2022,Bayern Munich,Freiburg,5,0,2,0,18,6,8,0,0,2,0,0,H
D1,21/10/2022,Mainz,FC Koln,5,0,3,0,15,6,7,2,1,5,0,1,H
D1,22/10/2022,Augsburg,RB Leipzig,3,3,1,0,11,19,3,8,7,1,1,0,D
D1,22/10/2022,Dortmund,Stuttgart,5,0,3,0,19,10,10,1,1,0,0,0,H
D1,22/10/2022,Freiburg,Werder Bremen,2,0,0,0,25,10,7,2,2,2,0,1,H
D1,22/10/2022,Hoffenheim,Bayern Munich,0,2,0,2,7,23,3,10,3,2,0,0,A
