Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
F1,07/08/15,Lille,Paris SG,0.0,1.0,0.0,0.0,12.0,7.0,2.0,2.0,3.0,2.0,0.0,1.0,A
F1,08/08/15,Bastia,Rennes,2.0,1.0,0.0,1.0,11.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,H
F1,08/08/15,Marseille,Caen,0.0,1.0,0.0,1.0,17.0,8.0,4.0,4.0,1.0,0.0,0.0,0.0,A
F1,08/08/15,Montpellier,Angers,0.0,2.0,0.0,1.0,11.0,16.0,4.0,6.0,3.0,2.0,0.0,0.0,A
F1,08/08/15,Nantes,Guingamp,1.0,0.0,0.0,0.0,9.0,10.0,4.0,4.0,2.0,2.0,0.0,0.0,H
F1,08/08/15,Nice,Monaco,1.0,2.0,1.0,0.0,5.0,19.0,2.0,6.0,2.0,2.0,1.0,0.0,A
F1,08/08/15,Troyes,Ajaccio GFCO,0.0,0.0,0.0,0.0,12.0,6.0,4.0,1.0,0.0,4.0,0.0,0.0,D
F1,09/08/15,Bordeaux,Reims,1.0,2.0,1.0,0.0,14.0,14.0,4.0,6.0,2.0,2.0,0.0,0.0,A
F1,09/08/15,Lyon,Lorient,0.0,0.0,0.0,0.0,21.0,10.0,6.0,5.0,1.0,2.0,0.0,0.0,D
F1,09/08/15,Toulouse,St Etienne,2.0,1.0,1.0,1.0,9.0,11.0,3.0,2.0,0.0,1.0,1.0,0.0,H
F1,14/08/15,Monaco,Lille,0.0,0.0,0.0,0.0,9.0,9.0,3.0,2.0,1.0,5.0,0.0,0.0,D
F1,15/08/15,Angers,Nantes,0.0,0.0,0.0,0.0,10.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,D
F1,15/08/15,Caen,Toulouse,1.0,0.0,0.0,0.0,9.0,13.0,3.0,4.0,1.0,3.0,0.0,1.0,H
F1,15/08/15,Guingamp,Lyon,0.0,1.0,0.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,0.0,0.0,A
F1,15/08/15,Rennes,Montpellier,1.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,H
F1,15/08/15,St Etienne,Bordeaux,1.0,1.0,0.0,0.0,7.0,17.0,2.0,3.0,2.0,1.0,0.0,0.0,D
F1,15/08/15,Troyes,Nice,3.0,3.0,1.0,3.0,11.0,18.0,7.0,6.0,3.0,3.0,1.0,0.0,D
F1,16/08/15,Lorient,Bastia,1.0,1.0,0.0,1.0,12.0,7.0,4.0,2.0,3.0,2.0,0.0,0.0,D
F1,16/08/15,Paris SG,Ajaccio GFCO,2.0,0.0,2.0,0.0,18.0,8.0,6.0,2.0,1.0,3.0,0.0,0.0,H
F1,16/08/15,Reims,Marseille,1.0,0.0,1.0,0.0,15.0,13.0,5.0,4.0,2.0,2.0,0.0,1.0,H
F1,21/08/15,Montpellier,Paris SG,0.0,1.0,0.0,0.0,10.0,9.0,3.0,5.0,2.0,1.0,0.0,0.0,A
