Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
I1,19/08/17,Juventus,Cagliari,3,0,2,0,17,5,7,2,1,0,0,0,H
I1,19/08/17,Verona,Napoli,1,3,0,2,12,22,4,12,2,2,0,1,A
I1,20/08/17,Atalanta,Roma,0,1,0,1,14,6,6,1,1,2,0,0,A
I1,20/08/17,Bologna,Torino,1,1,1,1,13,9,3,3,2,1,0,0,D
I1,20/08/17,Crotone,Milan,0,3,0,3,6,19,2,10,1,3,1,0,A
I1,20/08/17,Inter,Fiorentina,3,0,2,0,16,15,6,3,0,1,0,0,H
I1,20/08/17,Lazio,Spal,0,0,0,0,23,9,13,2,2,2,0,0,D
I1,20/08/17,Sampdoria,Benevento,2,1,1,1,16,18,6,7,1,2,0,0,H
I1,20/08/17,Sassuolo,Genoa,0,0,0,0,14,12,3,4,2,3,0,0,D
I1,20/08/17,Udinese,Chievo,1,2,1,1,18,10,5,3,2,2,0,0,A
I1,26/08/17,Benevento,Bologna,0,1,0,0,15,14,5,4,1,3,0,0,A
I1,26/08/17,Genoa,Juventus,2,4,2,2,9,17,3,7,4,3,0,0,A
I1,26/08/17,Roma,Inter,1,3,1,0,18,14,3,8,1,1,0,0,A
I1,27/08/17,Chievo,Lazio,1,2,1,1,13,13,5,3,1,1,0,0,A
I1,27/08/17,Crotone,Verona,0,0,0,0,13,5,4,0,1,3,0,0,D
I1,27/08/17,Fiorentina,Sampdoria,1,2,0,2,25,12,10,5,3,4,0,0,A
I1,27/08/17,Milan,Cagliari,2,1,1,0,15,14,5,4,2,1,0,0,H
I1,27/08/17,Napoli,Atalanta,3,1,0,1,10,14,4,2,1,2,0,0,H
I1,27/08/17,Spal,Udinese,3,2,1,0,10,11,4,3,3,1,0,0,H
I1,27/08/17,Torino,Sassuolo,3,0,1,0,14,19,5,2,1,1,0,0,H
I1,09/09/17,Juventus,Chievo,3,0,1,0,15,15,4,2,2,1,0,0,H
I1,10/09/17,Atalanta,Sassuolo,2,1,1,1,9,16,3,3,0,1,0,0,H
I1,10/09/17,Benevento,Torino,0,1,0,0,15,16,5,6,2,2,0,0,A
I1,10/09/17,Bologna,Napoli,0,3,0,0,5,17,2,7,5,1,0,0,A
I1,10/09/17,Cagliari,Crotone,1,0,1,0,13,9,4,2,2,1,0,0,H
I1,10/09/17,Inter,Spal,2,0,1,0,19,9,7,1,2,2,0,0,H
I1,10/09/17,Lazio,Milan,4,1,2,0,12,18,7,6,1,1,0,0,H
I1,10/09/17,Udinese,Genoa,1,0,1,0,14,12,5,2,4,0,1,1,H
I1,10/09/17,Verona,Fiorentina,0,5,0,3,14,20,2,10,2,1,0,0,A
I1,16/09/17,Crotone,Inter,0,2,0,0,12,7,4,3,1,2,0,0,A
I1,16/09/17,Fiorentina,Bologna,2,1,0,0,14,6,4,2,1,3,0,0,H
I1,16/09/17,Roma,Verona,3,0,2,0,30,8,10,1,1,1,0,1,H
I1,17/09/17,Chievo,Atalanta,1,1,0,0,15,10,4,6,2,0,0,0,D
I1,17/09/17,Genoa,Lazio,2,3,0,1,5,18,4,6,1,2,0,0,A
