Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SC0,06/08/16,Kilmarnock,Motherwell,1,2,0,1,9,7,8,7,1,3,0,0,A
SC0,06/08/16,Partick,Inverness C,2,0,1,0,6,8,3,2,2,1,0,0,H
SC0,06/08/16,Rangers,Hamilton,1,1,0,1,20,9,4,2,0,5,0,0,D
SC0,06/08/16,Ross County,Dundee,1,3,0,2,16,7,6,4,3,2,0,0,A
SC0,07/08/16,Hearts,Celtic,1,2,1,1,13,11,6,5,7,4,0,0,A
SC0,07/08/16,St Johnstone,Aberdeen,0,0,0,0,7,10,5,7,2,0,0,0,D
SC0,13/08/16,Aberdeen,Hearts,0,0,0,0,12,11,1,1,2,5,0,0,D
SC0,13/08/16,Dundee,Rangers,1,2,1,2,7,9,3,6,2,2,0,0,A
SC0,13/08/16,Hamilton,Kilmarnock,1,2,1,0,7,5,4,2,1,3,0,0,A
SC0,13/08/16,Inverness C,Ross County,2,3,1,2,12,12,8,5,4,5,0,0,A
SC0,13/08/16,Motherwell,St Johnstone,1,2,0,0,13,15,4,5,3,3,0,0,A
SC0,19/08/16,Dundee,Hamilton,1,1,1,1,8,8,5,4,1,2,0,0,D
SC0,20/08/16,Aberdeen,Partick,2,1,1,0,10,11,6,2,1,2,0,1,H
SC0,20/08/16,Hearts,Inverness C,5,1,2,0,18,13,10,7,1,4,0,0,H
SC0,20/08/16,Rangers,Motherwell,2,1,0,1,18,9,3,3,0,0,0,0,H
SC0,20/08/16,Ross County,Kilmarnock,2,0,1,0,11,4,2,0,1,1,0,0,H
SC0,20/08/16,St Johnstone,Celtic,2,4,0,3,7,19,5,5,3,4,0,0,A
SC0,26/08/16,Kilmarnock,Rangers,1,1,1,0,8,19,2,7,4,2,1,0,D
SC0,27/08/16,Celtic,Aberdeen,4,1,2,1,10,5,5,1,0,1,0,1,H
SC0,27/08/16,Hamilton,Ross County,1,0,0,0,15,4,9,1,3,2,0,0,H
SC0,27/08/16,Inverness C,St Johnstone,2,1,0,0,15,7,8,3,1,1,0,0,H
SC0,27/08/16,Motherwell,Dundee,0,0,0,0,17,11,5,3,1,2,0,0,D
SC0,27/08/16,Partick,Hearts,1,2,0,1,9,17,4,8,2,0,0,0,A
SC0,10/09/16,Aberdeen,Inverness C,1,1,0,0,3,1,2,1,0,3,0,0,D
SC0,10/09/16,Celtic,Rangers,5,1,2,1,20,6,9,2,4,2,0,1,H
SC0,10/09/16,Dundee,Kilmarnock,1,1,1,1,17,7,3,1,3,2,1,0,D
SC0,10/09/16,Hearts,Hamilton,3,1,0,0,22,6,10,1,3,3,0,0,H
SC0,10/09/16,Partick,St Johnstone,0,2,0,1,9,9,4,5,0,1,0,0,A
SC0,10/09/16,Ross County,Motherwell,1,1,0,0,11,6,3,4,1,2,1,0,D
SC0,17/09/16,Kilmarnock,Partick,2,2,1,1,8,11,6,7,2,1,0,1,D
SC0,17/09/16,Motherwell,Hamilton,4,2,3,1,13,21,4,5,3,4,0,0,H
SC0,17/09/16,Rangers,Ross County,0,0,0,0,16,4,5,2,1,1,0,0,D
SC0,17/09/16,St Johnstone,Hearts,1,0,0,0,11,16,7,7,6,1,0,0,H
SC0,18/09/16,Dundee,Aberdeen,1,3,1,1,7,7,2,3,3,4,1,0,A
SC0,18/09/16,Inverness C,Celtic,2,2,1,2,10,23,5,9,2,2,0,0,D
SC0,24/09/16,Celtic,Kilmarnock,6,1,2,1,23,4,9,2,0,2,0,0,H
SC0,24/09/16,Hearts,Ross County,0,0,0,0,16,1,6,0,2,3,0,1,D
SC0,24/09/16,Inverness C,Dundee,3,1,2,0,12,11,7,6,2,3,0,0,H
SC0,24/09/16,Partick,Motherwell,1,1,1,0,15,10,6,4,1,1,0,0,D
SC0,25/09/16,Aberdeen,Rangers,2,1,0,0,10,11,4,3,5,4,0,0,H
SC0,25/09/16,Hamilton,St Johnstone,1,1,1,0,13,20,8,7,5,1,0,0,D
SC0,30/09/16,Motherwell,Hearts,1,3,0,1,15,17,5,6,0,1,0,0,A
SC0,01/10/16,Dundee,Celtic,0,1,0,0,2,16,1,7,2,1,0,0,A
SC0,01/10/16,Hamilton,Inverness C,1,1,1,0,13,13,5,7,2,1,0,0,D
SC0,01/10/16,Kilmarnock,Aberdeen,0,4,0,1,3,13,0,8,2,0,0,0,A
SC0,01/10/16,Rangers,Partick,2,0,2,0,12,7,5,2,1,2,0,0,H
SC0,01/10/16,Ross County,St Johnstone,0,2,0,1,6,9,4,5,0,0,0,0,A
SC0,14/10/16,Inverness C,Rangers,0,1,0,1,13,15,6,5,3,1,0,0,A
SC0,15/10/16,Aberdeen,Ross County,4,0,2,0,24,9,14,3,1,2,0,1,H
SC0,15/10/16,Celtic,Motherwell,2,0,1,0,24,9,9,4,2,2,0,0,H
SC0,15/10/16,Hearts,Dundee,2,0,0,0,17,12,7,2,1,1,0,0,H
SC0,15/10/16,Partick,Hamilton,2,2,2,1,12,22,7,10,1,2,0,0,D
SC0,15/10/16,St Johnstone,Kilmarnock,0,1,0,0,12,4,3,1,3,1,0,0,A
SC0,22/10/16,Inverness C,Kilmarnock,1,1,0,1,11,9,5,4,3,2,0,0,D
SC0,22/10/16,Partick,Ross County,1,1,1,0,14,11,3,3,1,3,0,0,D
SC0,23/10/16,St Johnstone,Dundee,2,1,0,0,15,9,8,4,1,2,0,0,H
SC0,25/10/16,Hamilton,Aberdeen,1,0,1,0,9,10,4,4,0,0,0,0,H
SC0,26/10/16,Dundee,Partick,0,2,0,1,5,11,1,4,1,3,0,0,A
SC0,26/10/16,Kilmarnock,Hearts,2,0,1,0,15,9,6,5,1,3,0,0,H
SC0,26/10/16,Motherwell,Inverness C,0,3,0,0,7,13,0,6,0,1,0,0,A
SC0,26/10/16,Rangers,St Johnstone,1,1,1,1,18,12,8,4,3,3,0,0,D
SC0,26/10/16,Ross County,Celtic,0,4,0,1,10,19,5,12,1,1,0,0,A
SC0,29/10/16,Aberdeen,Celtic,0,1,0,1,7,16,2,6,2,3,0,0,A
SC0,29/10/16,Hamilton,Dundee,0,1,0,0,7,7,1,2,2,1,0,0,A
SC0,29/10/16,Inverness C,Hearts,3,3,2,1,9,9,5,5,3,2,0,0,D
SC0,29/10/16,Motherwell,Ross County,4,1,2,0,12,13,5,3,1,2,0,0,H
SC0,29/10/16,Rangers,Kilmarnock,3,0,2,0,24,7,10,1,0,2,0,0,H
