Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SP1,29/08/09,Real Madrid,La Coruna,3,2,2,1,28,9,11,3,2,2,0,0,H
SP1,29/08/09,Zaragoza,Tenerife,1,0,0,0,17,16,8,2,1,4,0,0,H
SP1,30/08/09,Almeria,Valladolid,0,0,0,0,20,7,5,1,2,2,0,1,D
SP1,30/08/09,Ath Bilbao,Espanol,1,0,0,0,14,8,4,1,2,6,0,0,H
SP1,30/08/09,Malaga,Ath Madrid,3,0,1,0,8,16,4,3,4,4,0,0,H
SP1,30/08/09,Mallorca,Xerez,2,0,0,0,10,7,3,3,3,1,0,2,H
SP1,30/08/09,Osasuna,Villarreal,1,1,1,1,7,11,2,7,2,2,0,0,D
SP1,30/08/09,Santander,Getafe,1,4,1,3,4,9,3,6,2,3,0,0,A
SP1,30/08/09,Valencia,Sevilla,2,0,0,0,8,3,6,1,1,2,0,1,H
SP1,31/08/09,Barcelona,Sp Gijon,3,0,2,0,20,9,9,5,0,2,0,0,H
SP1,12/09/09,Ath Madrid,Santander,1,1,1,1,23,8,10,3,1,2,0,1,D
SP1,12/09/09,Espanol,Real Madrid,0,3,0,1,12,17,3,6,2,2,0,0,A
SP1,12/09/09,Getafe,Barcelona,0,2,0,0,19,14,3,9,3,0,0,0,A
SP1,12/09/09,Sevilla,Zaragoza,4,1,2,1,19,10,8,2,3,3,0,0,H
SP1,13/09/09,La Coruna,Malaga,1,0,0,0,15,11,4,2,2,5,0,0,H
SP1,13/09/09,Sp Gijon,Almeria,1,0,1,0,16,7,4,0,3,4,0,0,H
SP1,13/09/09,Tenerife,Osasuna,2,1,0,0,16,7,5,3,1,3,0,2,H
SP1,13/09/09,Valladolid,Valencia,2,4,1,3,14,15,9,6,1,2,0,0,A
SP1,13/09/09,Villarreal,Mallorca,1,1,0,0,15,8,5,4,1,2,0,0,D
SP1,13/09/09,Xerez,Ath Bilbao,0,1,0,1,17,15,4,5,4,3,1,0,A
SP1,19/09/09,Barcelona,Ath Madrid,5,2,4,1,8,14,6,4,1,3,0,0,H
SP1,19/09/09,La Coruna,Espanol,2,3,1,2,9,11,4,6,1,3,0,0,A
SP1,19/09/09,Malaga,Santander,1,2,0,1,20,7,6,3,3,5,0,0,A
SP1,19/09/09,Mallorca,Tenerife,4,0,1,0,16,10,9,2,1,2,0,2,H
SP1,19/09/09,Osasuna,Sevilla,0,2,0,1,11,10,3,4,4,4,1,0,A
SP1,20/09/09,Almeria,Getafe,1,0,0,0,11,23,3,11,4,3,0,0,H
SP1,20/09/09,Ath Bilbao,Villarreal,3,2,2,0,20,11,9,6,2,5,0,0,H
SP1,20/09/09,Real Madrid,Xerez,5,0,1,0,23,11,13,3,0,1,0,0,H
SP1,20/09/09,Valencia,Sp Gijon,2,2,1,1,25,6,10,5,4,2,0,1,D
SP1,20/09/09,Zaragoza,Valladolid,1,2,1,1,18,9,5,4,0,2,0,0,A
SP1,22/09/09,Santander,Barcelona,1,4,0,3,4,20,2,6,4,1,0,0,A
SP1,22/09/09,Sevilla,Mallorca,2,0,2,0,10,8,6,4,1,1,0,0,H
SP1,23/09/09,Ath Madrid,Almeria,2,2,1,1,24,12,9,7,3,2,0,0,D
SP1,23/09/09,Espanol,Malaga,2,1,0,1,12,15,5,9,2,4,0,0,H
SP1,23/09/09,Getafe,Valencia,3,1,2,1,16,8,6,2,2,4,0,0,H
SP1,23/09/09,Tenerife,Ath Bilbao,1,0,0,0,21,5,8,3,3,6,0,0,H
SP1,23/09/09,Valladolid,Osasuna,1,2,0,1,10,10,1,3,3,3,2,0,A
SP1,23/09/09,Villarreal,Real Madrid,0,2,0,1,10,17,4,6,2,3,1,0,A
SP1,23/09/09,Xerez,La Coruna,0,3,0,1,10,13,3,3,1,1,0,0,A
SP1,24/09/09,Sp Gijon,Zaragoza,1,1,1,0,13,13,5,5,2,2,0,0,D
SP1,26/09/09,Ath Bilbao,Sevilla,0,4,0,3,13,16,3,8,2,2,1,0,A
SP1,26/09/09,Malaga,Barcelona,0,2,0,1,3,11,0,6,3,3,1,0,A
SP1,26/09/09,Real Madrid,Tenerife,3,0,0,0,18,20,7,7,1,5,0,0,H
SP1,26/09/09,Valencia,Ath Madrid,2,2,2,1,15,15,7,3,2,1,0,0,D
SP1,27/09/09,Almeria,Santander,2,2,1,0,13,13,4,6,3,2,0,0,D
SP1,27/09/09,Espanol,Xerez,0,0,0,0,16,4,3,1,1,1,0,0,D
SP1,27/09/09,La Coruna,Villarreal,1,0,1,0,12,13,7,7,1,3,0,0,H
SP1,27/09/09,Mallorca,Valladolid,3,0,1,0,13,6,8,0,0,0,0,0,H
SP1,27/09/09,Osasuna,Sp Gijon,1,0,0,0,12,9,2,0,1,3,0,0,H
SP1,27/09/09,Zaragoza,Getafe,3,0,2,0,19,12,10,4,2,2,0,0,H
SP1,03/10/09,Ath Madrid,Zaragoza,2,1,1,0,16,14,6,4,6,3,0,0,H
SP1,03/10/09,Barcelona,Almeria,1,0,1,0,17,0,7,0,3,3,0,0,H
SP1,03/10/09,Tenerife,La Coruna,0,1,0,0,17,11,4,5,2,1,0,0,A
SP1,04/10/09,Getafe,Osasuna,2,1,0,0,14,13,7,2,2,2,0,0,H
SP1,04/10/09,Santander,Valencia,0,1,0,0,18,7,6,2,1,3,0,0,A
SP1,04/10/09,Sevilla,Real Madrid,2,1,1,0,24,17,10,3,4,3,0,0,H
SP1,04/10/09,Sp Gijon,Mallorca,4,1,0,1,19,8,8,2,2,1,0,0,H
SP1,04/10/09,Valladolid,Ath Bilbao,2,2,0,1,19,9,4,3,3,4,2,1,D
SP1,04/10/09,Villarreal,Espanol,0,0,0,0,15,5,6,0,3,3,0,1,D
SP1,04/10/09,Xerez,Malaga,1,1,0,0,6,18,3,4,3,2,0,1,D
SP1,17/10/09,La Coruna,Sevilla,1,0,1,0,9,10,2,1,0,1,0,0,H
SP1,17/10/09,Real Madrid,Valladolid,4,2,3,1,19,19,6,8,2,2,0,0,H
SP1,17/10/09,Valencia,Barcelona,0,0,0,0,13,12,4,3,4,2,0,0,D
SP1,18/10/09,Ath Bilbao,Sp Gijon,1,2,0,0,17,9,2,3,4,3,0,0,A
SP1,18/10/09,Espanol,Tenerife,2,1,1,1,15,8,7,4,2,4,0,0,H
SP1,18/10/09,Malaga,Almeria,1,2,0,2,16,18,5,7,4,3,0,0,A
SP1,18/10/09,Mallorca,Getafe,3,1,1,0,14,14,8,4,3,3,0,0,H
SP1,18/10/09,Osasuna,Ath Madrid,3,0,3,0,14,20,6,5,1,3,0,0,H
SP1,18/10/09,Xerez,Villarreal,2,1,1,1,11,13,3,6,2,3,0,1,H
SP1,18/10/09,Zaragoza,Santander,2,2,2,0,17,14,4,3,2,3,1,0,D
SP1,24/10/09,Ath Madrid,Mallorca,1,1,0,0,25,8,6,2,0,3,0,2,D
SP1,24/10/09,Sevilla,Espanol,0,0,0,0,28,8,8,1,2,5,0,1,D
SP1,24/10/09,Sp Gijon,Real Madrid,0,0,0,0,10,13,2,5,2,4,0,0,D
SP1,25/10/09,Almeria,Valencia,0,3,0,0,9,18,2,7,3,4,1,0,A
SP1,25/10/09,Barcelona,Zaragoza,6,1,3,0,17,7,13,5,0,2,0,0,H
