,game_id,season,type,date_time_GMT,home_team_id,away_team_id,home_goals,away_goals,outcome,home_wins,overtime
18399,2000020001,20002001,R,2000-10-04T23:00:00Z,25,21,2,2,tbc win OT,,
18040,2000020005,20002001,R,2000-10-05T23:00:00Z,20,17,3,4,away win REG,0.0,0.0
18043,2000020003,20002001,R,2000-10-05T23:00:00Z,7,16,4,2,home win REG,1.0,0.0
18311,2000020004,20002001,R,2000-10-05T23:00:00Z,4,23,6,3,home win REG,1.0,0.0
19132,2000020002,20002001,R,2000-10-05T23:00:00Z,6,9,4,4,tbc win OT,,
18713,2000020006,20002001,R,2000-10-06T00:00:00Z,27,19,4,1,home win REG,1.0,0.0
18232,2000020018,20002001,R,2000-10-06T15:55:00Z,5,18,1,3,away win REG,0.0,0.0
18405,2000020008,20002001,R,2000-10-06T23:00:00Z,15,26,1,4,away win REG,0.0,0.0
18664,2000020007,20002001,R,2000-10-06T23:00:00Z,1,8,8,4,home win REG,1.0,0.0
18827,2000020011,20002001,R,2000-10-06T23:00:00Z,22,17,2,1,home win REG,1.0,0.0
18407,2000020010,20002001,R,2000-10-06T23:30:00Z,13,23,3,4,away win OT,0.0,1.0
18499,2000020009,20002001,R,2000-10-06T23:30:00Z,14,2,3,3,tbc win OT,,
18769,2000020013,20002001,R,2000-10-06T23:30:00Z,28,19,1,4,away win REG,0.0,0.0
18864,2000020012,20002001,R,2000-10-06T23:30:00Z,24,30,3,1,home win REG,1.0,0.0
18865,2000020025,20002001,R,2000-10-07T15:00:00Z,18,5,1,3,away win REG,0.0,0.0
18178,2000020014,20002001,R,2000-10-07T23:00:00Z,7,26,5,3,home win REG,1.0,0.0
18312,2000020020,20002001,R,2000-10-07T23:00:00Z,11,3,1,2,away win REG,0.0,0.0
18366,2000020023,20002001,R,2000-10-07T23:00:00Z,27,30,4,1,home win REG,1.0,0.0
18538,2000020016,20002001,R,2000-10-07T23:00:00Z,9,25,3,1,home win REG,1.0,0.0
18567,2000020015,20002001,R,2000-10-07T23:00:00Z,10,8,2,0,home win REG,1.0,0.0
18748,2000020017,20002001,R,2000-10-07T23:00:00Z,4,6,1,5,away win REG,0.0,0.0
19149,2000020019,20002001,R,2000-10-07T23:00:00Z,12,15,3,3,tbc win OT,,
19209,2000020021,20002001,R,2000-10-07T23:30:00Z,29,16,3,5,away win REG,0.0,0.0
18350,2000020022,20002001,R,2000-10-08T00:00:00Z,22,21,1,1,tbc win OT,,
18588,2000020026,20002001,R,2000-10-08T17:00:00Z,24,19,1,5,away win REG,0.0,0.0
18626,2000020024,20002001,R,2000-10-08T22:00:00Z,14,23,4,5,away win REG,0.0,0.0
18521,2000020027,20002001,R,2000-10-09T17:00:00Z,6,13,4,2,home win REG,1.0,0.0
18663,2000020029,20002001,R,2000-10-09T23:00:00Z,29,26,1,7,away win REG,0.0,0.0
18764,2000020028,20002001,R,2000-10-09T23:30:00Z,10,25,1,3,away win REG,0.0,0.0
18488,2000020031,20002001,R,2000-10-10T23:00:00Z,12,25,5,2,home win REG,1.0,0.0
19099,2000020032,20002001,R,2000-10-10T23:00:00Z,20,21,1,3,away win REG,0.0,0.0
18921,2000020030,20002001,R,2000-10-10T23:30:00Z,8,22,5,2,home win REG,1.0,0.0
18050,2000020035,20002001,R,2000-10-11T23:00:00Z,3,8,3,1,home win REG,1.0,0.0
18932,2000020040,20002001,R,2000-10-11T23:00:00Z,26,19,4,4,tbc win OT,,
17986,2000020038,20002001,R,2000-10-11T23:30:00Z,30,4,3,3,tbc win OT,,
18103,2000020033,20002001,R,2000-10-11T23:30:00Z,10,2,3,2,home win REG,1.0,0.0
18643,2000020037,20002001,R,2000-10-11T23:30:00Z,17,22,3,4,away win REG,0.0,0.0
18886,2000020036,20002001,R,2000-10-11T23:30:00Z,11,15,3,3,tbc win OT,,
19111,2000020039,20002001,R,2000-10-11T23:30:00Z,24,6,2,3,away win OT,0.0,1.0
18123,2000020043,20002001,R,2000-10-12T23:00:00Z,20,29,2,3,away win REG,0.0,0.0
18398,2000020044,20002001,R,2000-10-12T23:00:00Z,23,21,2,5,away win REG,0.0,0.0
18787,2000020042,20002001,R,2000-10-12T23:00:00Z,25,4,4,1,home win REG,1.0,0.0
18285,2000020041,20002001,R,2000-10-12T23:30:00Z,16,17,0,4,away win REG,0.0,0.0
18553,2000020045,20002001,R,2000-10-12T23:30:00Z,28,27,2,1,home win REG,1.0,0.0
18011,2000020046,20002001,R,2000-10-13T23:00:00Z,9,1,3,1,home win REG,1.0,0.0
18333,2000020051,20002001,R,2000-10-13T23:00:00Z,22,7,3,2,home win REG,1.0,0.0
18509,2000020049,20002001,R,2000-10-13T23:00:00Z,19,30,2,0,home win REG,1.0,0.0
18732,2000020050,20002001,R,2000-10-13T23:00:00Z,18,15,3,1,home win REG,1.0,0.0
18296,2000020052,20002001,R,2000-10-13T23:30:00Z,26,6,5,0,home win REG,1.0,0.0
18593,2000020047,20002001,R,2000-10-13T23:30:00Z,5,14,3,2,home win REG,1.0,0.0
18784,2000020048,20002001,R,2000-10-13T23:30:00Z,13,12,2,2,tbc win OT,,
18008,2000020058,20002001,R,2000-10-14T23:00:00Z,25,15,3,0,home win REG,1.0,0.0
18064,2000020053,20002001,R,2000-10-14T23:00:00Z,10,9,0,4,away win REG,0.0,0.0
18238,2000020054,20002001,R,2000-10-14T23:00:00Z,8,16,5,4,home win OT,1.0,1.0
18447,2000020062,20002001,R,2000-10-14T23:00:00Z,27,4,6,3,home win REG,1.0,0.0
18602,2000020059,20002001,R,2000-10-14T23:00:00Z,18,12,2,1,home win REG,1.0,0.0
18805,2000020061,20002001,R,2000-10-14T23:00:00Z,23,7,4,0,home win REG,1.0,0.0
19084,2000020056,20002001,R,2000-10-14T23:00:00Z,2,20,0,2,away win REG,0.0,0.0
19108,2000020060,20002001,R,2000-10-14T23:00:00Z,21,29,3,1,home win REG,1.0,0.0
19036,2000020057,20002001,R,2000-10-14T23:30:00Z,5,3,8,6,home win REG,1.0,0.0
19114,2000020063,20002001,R,2000-10-14T23:30:00Z,28,6,5,2,home win REG,1.0,0.0
19119,2000020055,20002001,R,2000-10-14T23:30:00Z,1,24,4,2,home win REG,1.0,0.0
18810,2000020067,20002001,R,2000-10-15T17:00:00Z,30,22,3,5,away win REG,0.0,0.0
18155,2000020068,20002001,R,2000-10-15T21:00:00Z,26,27,5,6,away win REG,0.0,0.0
18472,2000020064,20002001,R,2000-10-15T22:00:00Z,14,11,5,2,home win REG,1.0,0.0
18038,2000020065,20002001,R,2000-10-15T23:00:00Z,17,20,2,4,away win REG,0.0,0.0
18928,2000020066,20002001,R,2000-10-15T23:00:00Z,16,29,2,1,home win REG,1.0,0.0
18551,2000020070,20002001,R,2000-10-16T23:00:00Z,23,10,5,2,home win REG,1.0,0.0
18913,2000020069,20002001,R,2000-10-16T23:00:00Z,3,24,3,4,away win REG,0.0,0.0
18042,2000020078,20002001,R,2000-10-17T23:00:00Z,22,6,6,1,home win REG,1.0,0.0
18277,2000020074,20002001,R,2000-10-17T23:00:00Z,15,21,3,4,away win OT,0.0,1.0
18876,2000020073,20002001,R,2000-10-17T23:00:00Z,4,9,1,6,away win REG,0.0,0.0
19145,2000020077,20002001,R,2000-10-17T23:00:00Z,18,26,1,1,tbc win OT,,
18295,2000020076,20002001,R,2000-10-17T23:30:00Z,17,19,2,1,home win REG,1.0,0.0
18763,2000020075,20002001,R,2000-10-17T23:30:00Z,11,1,3,3,tbc win OT,,
18765,2000020071,20002001,R,2000-10-17T23:30:00Z,8,7,4,3,home win REG,1.0,0.0
18835,2000020072,20002001,R,2000-10-17T23:30:00Z,2,24,3,4,away win REG,0.0,0.0
17990,2000020083,20002001,R,2000-10-18T23:00:00Z,30,14,6,5,home win REG,1.0,0.0
18026,2000020084,20002001,R,2000-10-18T23:00:00Z,23,20,4,1,home win REG,1.0,0.0
18209,2000020080,20002001,R,2000-10-18T23:00:00Z,29,21,1,5,away win REG,0.0,0.0
18754,2000020082,20002001,R,2000-10-18T23:00:00Z,25,28,2,1,home win REG,1.0,0.0
19106,2000020085,20002001,R,2000-10-18T23:00:00Z,27,13,2,1,home win OT,1.0,1.0
18369,2000020079,20002001,R,2000-10-18T23:30:00Z,5,12,2,3,away win REG,0.0,0.0
19034,2000020081,20002001,R,2000-10-18T23:30:00Z,16,3,2,4,away win REG,0.0,0.0
18025,2000020091,20002001,R,2000-10-19T23:00:00Z,22,10,1,4,away win REG,0.0,0.0
18393,2000020088,20002001,R,2000-10-19T23:00:00Z,15,1,5,2,home win REG,1.0,0.0
18552,2000020090,20002001,R,2000-10-19T23:00:00Z,19,26,7,1,home win REG,1.0,0.0
18667,2000020087,20002001,R,2000-10-19T23:00:00Z,4,8,3,3,tbc win OT,,
18728,2000020086,20002001,R,2000-10-19T23:00:00Z,9,5,3,3,tbc win OT,,
19159,2000020089,20002001,R,2000-10-19T23:30:00Z,17,18,1,2,away win OT,0.0,1.0
18159,2000020096,20002001,R,2000-10-20T23:00:00Z,21,13,5,1,home win REG,1.0,0.0
18554,2000020097,20002001,R,2000-10-20T23:00:00Z,20,6,3,2,home win REG,1.0,0.0
18942,2000020095,20002001,R,2000-10-20T23:00:00Z,30,28,1,3,away win REG,0.0,0.0
19178,2000020092,20002001,R,2000-10-20T23:00:00Z,7,24,2,2,tbc win OT,,
18080,2000020094,20002001,R,2000-10-20T23:30:00Z,16,25,1,5,away win REG,0.0,0.0
19015,2000020093,20002001,R,2000-10-20T23:30:00Z,11,2,3,5,away win REG,0.0,0.0
18666,2000020108,20002001,R,2000-10-21T21:00:00Z,20,10,1,2,away win REG,0.0,0.0
18289,2000020099,20002001,R,2000-10-21T23:00:00Z,9,11,6,6,tbc win OT,,
18308,2000020098,20002001,R,2000-10-21T23:00:00Z,8,12,5,2,home win REG,1.0,0.0
18539,2000020101,20002001,R,2000-10-21T23:00:00Z,4,24,3,4,away win REG,0.0,0.0
18736,2000020106,20002001,R,2000-10-21T23:00:00Z,25,26,4,3,home win REG,1.0,0.0
