Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Berlocq C.,Haase R.,67.0,62.0,725.0,823.0,4.0,6.0,3.0,6.0,6.0,7.0,,,,,0.0,3.0,0.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Monfils G.,De Bakker T.,12.0,47.0,2560.0,950.0,6.0,7.0,2.0,6.0,7.0,5.0,6.0,2.0,6.0,1.0,3.0,2.0,1.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Nishikori K.,Fognini F.,82.0,58.0,599.0,855.0,6.0,1.0,6.0,4.0,6.0,7.0,6.0,4.0,,,3.0,1.0,1.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Kunitsyn I.,Przysiezny M.,99.0,84.0,551.0,596.0,6.0,7.0,6.0,4.0,6.0,4.0,7.0,6.0,,,3.0,1.0,1.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Cuevas P.,Gil F.,64.0,91.0,790.0,571.0,4.0,6.0,7.0,6.0,6.0,4.0,3.0,6.0,7.0,9.0,2.0,3.0,0.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Greul S.,Monaco J.,131.0,28.0,424.0,1480.0,6.0,7.0,6.0,7.0,2.0,6.0,,,,,0.0,3.0,0.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Querrey S.,Kubot L.,18.0,72.0,1860.0,670.0,7.0,5.0,2.0,6.0,6.0,3.0,1.0,6.0,6.0,8.0,2.0,3.0,0.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Stakhovsky S.,Brands D.,43.0,102.0,970.0,541.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,1.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Hanescu V.,Fish M.,50.0,17.0,925.0,1921.0,6.0,2.0,6.0,4.0,3.0,6.0,5.0,7.0,3.0,6.0,2.0,3.0,0.0
Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,Mayer F.,Davydenko N.,36.0,25.0,1143.0,1555.0,6.0,3.0,4.0,6.0,7.0,6.0,6.0,4.0,,,3.0,1.0,1.0
