Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Mannarino A.,Fognini F.,153.0,45.0,344.0,965.0,0.0,6.0,5.0,7.0,1.0,6.0,,,,,0.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Munoz-De La Nava D.,Cilic M.,130.0,24.0,427.0,1380.0,4.0,6.0,4.0,6.0,5.0,7.0,,,,,0.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Montanes A.,Del Potro J.M.,65.0,9.0,715.0,2910.0,2.0,6.0,7.0,6.0,2.0,6.0,1.0,6.0,,,1.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Roger-Vasselin E.,Pospisil V.,82.0,101.0,625.0,535.0,3.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,1.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Dasnieres de Veigy J.,Ferrero J.C.,158.0,41.0,333.0,990.0,1.0,6.0,4.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Cipolla F.,Wawrinka S.,75.0,21.0,656.0,1505.0,3.0,6.0,3.0,6.0,6.0,4.0,6.0,3.0,2.0,6.0,2.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Souza J.,Stebe C.M.,118.0,91.0,471.0,600.0,3.0,6.0,0.0,2.0,,,,,,,0.0,1.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Andujar P.,Hanescu V.,36.0,146.0,1115.0,380.0,6.0,1.0,2.0,6.0,1.0,6.0,6.0,3.0,6.0,1.0,3.0,2.0,1.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Verdasco F.,Darcis S.,16.0,61.0,1765.0,760.0,6.0,3.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Muller G.,Sijsling I.,54.0,122.0,852.0,446.0,2.0,6.0,7.0,5.0,3.0,6.0,6.0,4.0,8.0,6.0,3.0,2.0,1.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Melzer J.,Berrer M.,32.0,114.0,1182.0,487.0,7.0,6.0,6.0,4.0,2.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Kuznetsov An.,Tsonga J.W.,160.0,5.0,333.0,4965.0,6.0,1.0,3.0,6.0,2.0,6.0,4.0,6.0,,,1.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Krajinovic F.,Devilder N.,630.0,286.0,37.0,159.0,2.0,6.0,2.0,6.0,0.0,6.0,,,,,0.0,3.0,0.0
French Open,27/05/12,Grand Slam,Outdoor,Clay,1st Round,Roddick A.,Mahut N.,33.0,89.0,1180.0,604.0,3.0,6.0,3.0,6.0,6.0,4.0,2.0,6.0,,,1.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Klizan M.,Dancevic F.,70.0,120.0,683.0,466.0,4.0,0.0,,,,,,,,,0.0,0.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Gulbis E.,Kukushkin M.,93.0,53.0,596.0,853.0,4.0,6.0,6.0,7.0,7.0,5.0,6.0,2.0,4.0,6.0,2.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Jaziri M.,Petzschner P.,94.0,98.0,595.0,557.0,6.0,3.0,7.0,5.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Kavcic B.,Hewitt L.,99.0,176.0,557.0,290.0,7.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,,,3.0,1.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Serra F.,Lopez F.,156.0,17.0,336.0,1725.0,5.0,0.0,,,,,,,,,0.0,0.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Sousa J.,Granollers M.,137.0,23.0,403.0,1385.0,2.0,6.0,6.0,3.0,3.0,6.0,4.0,6.0,,,1.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Davydenko N.,Seppi A.,47.0,25.0,920.0,1355.0,3.0,6.0,6.0,7.0,5.0,7.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Kamke T.,Federer R.,78.0,3.0,648.0,9790.0,2.0,6.0,5.0,7.0,3.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Ungur A.,Nalbandian D.,92.0,40.0,597.0,1005.0,6.0,3.0,5.0,7.0,6.0,4.0,7.0,5.0,,,3.0,1.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Zeballos H.,Prodon E.,108.0,115.0,502.0,482.0,6.0,7.0,6.0,3.0,6.0,3.0,6.0,2.0,,,3.0,1.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Becker B.,Levine J.,157.0,131.0,335.0,425.0,5.0,7.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Beck K.,Kubot L.,104.0,49.0,521.0,876.0,5.0,7.0,2.0,6.0,5.0,7.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Clement A.,Bogomolov A.,139.0,46.0,400.0,926.0,6.0,2.0,3.0,6.0,4.0,6.0,7.0,6.0,5.0,4.0,2.0,2.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Giraldo S.,Falla A.,50.0,52.0,868.0,853.0,5.0,7.0,6.0,2.0,6.0,4.0,7.0,6.0,,,3.0,1.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Dutra Silva R.,Isner J.,121.0,11.0,451.0,2620.0,3.0,6.0,4.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Garcia-Lopez G.,Llodra M.,72.0,57.0,661.0,795.0,6.0,7.0,2.0,6.0,6.0,3.0,3.0,6.0,,,1.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Troicki V.,Bellucci T.,28.0,66.0,1325.0,707.0,4.0,6.0,6.0,3.0,5.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Starace P.,Djokovic N.,97.0,1.0,558.0,11800.0,6.0,7.0,3.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Haider-Maurer A.,Tomic B.,155.0,29.0,336.0,1240.0,6.0,7.0,3.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Machado R.,Anderson K.,80.0,34.0,632.0,1170.0,6.0,7.0,7.0,6.0,6.0,4.0,1.0,6.0,9.0,11.0,2.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Ebden M.,Kohlschreiber P.,76.0,26.0,654.0,1345.0,4.0,6.0,4.0,6.0,6.0,7.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Phau B.,Mathieu P.H.,84.0,261.0,620.0,185.0,6.0,2.0,6.0,4.0,4.0,6.0,3.0,6.0,0.0,6.0,2.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Berdych T.,Sela D.,7.0,95.0,4515.0,592.0,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Mayer L.,Rochus O.,62.0,63.0,749.0,725.0,6.0,3.0,6.0,4.0,2.0,6.0,6.0,4.0,,,3.0,1.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Goffin D.,Stepanek R.,109.0,27.0,500.0,1340.0,6.0,2.0,4.0,6.0,2.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,1.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Ramirez-Hidalgo R.,Raonic M.,74.0,22.0,657.0,1460.0,4.0,6.0,2.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Harrison R.,Simon G.,56.0,12.0,817.0,2615.0,6.0,3.0,5.0,7.0,4.0,6.0,1.0,6.0,,,1.0,3.0,0.0
French Open,28/05/12,Grand Slam,Outdoor,Clay,1st Round,Malisse X.,Baker B.,77.0,141.0,651.0,393.0,3.0,6.0,6.0,7.0,6.0,7.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Chardy J.,Lu Y.H.,55.0,60.0,834.0,770.0,6.0,4.0,6.0,1.0,6.0,7.0,3.0,6.0,11.0,9.0,3.0,2.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Gimeno-Traver D.,Mayer F.,125.0,35.0,444.0,1150.0,4.0,6.0,2.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Tipsarevic J.,Querrey S.,8.0,71.0,3110.0,670.0,2.0,6.0,6.0,4.0,7.0,6.0,6.0,3.0,,,3.0,1.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Ferrer D.,Lacko L.,6.0,64.0,4640.0,723.0,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Soeda G.,Tursunov D.,58.0,88.0,785.0,608.0,1.0,6.0,4.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Karlovic I.,Schwank E.,59.0,192.0,776.0,270.0,4.0,6.0,0.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Gasquet R.,Zopp J.,20.0,103.0,1600.0,526.0,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Young D.,Dimitrov G.,51.0,87.0,866.0,611.0,6.0,7.0,1.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Stakhovsky S.,Dolgopolov O.,83.0,19.0,620.0,1665.0,6.0,7.0,6.0,4.0,7.0,6.0,3.0,6.0,6.0,3.0,3.0,2.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Ramos A.,Paire B.,38.0,69.0,1030.0,685.0,6.0,7.0,4.0,6.0,7.0,6.0,3.0,6.0,,,1.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Benneteau J.,Zverev M.,31.0,212.0,1190.0,243.0,6.0,2.0,6.0,7.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Andreev I.,Nieminen J.,85.0,48.0,612.0,897.0,6.0,3.0,2.0,6.0,1.0,2.0,,,,,1.0,1.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Berlocq C.,Rosol L.,37.0,79.0,1085.0,636.0,4.0,6.0,5.0,7.0,7.0,6.0,2.0,6.0,,,1.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Nadal R.,Bolelli S.,2.0,111.0,10060.0,494.0,6.0,2.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Lorenzi P.,Almagro N.,86.0,13.0,612.0,2255.0,3.0,6.0,5.0,7.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Volandri F.,Haas T.,81.0,112.0,630.0,493.0,3.0,6.0,6.0,0.0,4.0,6.0,4.0,6.0,,,1.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Rufin G.,Monaco J.,150.0,15.0,352.0,1945.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,7.0,,,1.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Istomin D.,Kunitsyn I.,43.0,102.0,972.0,526.0,6.0,2.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Dodig I.,Haase R.,73.0,39.0,660.0,1010.0,2.0,6.0,2.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Ito T.,Murray A.,68.0,4.0,690.0,7500.0,1.0,6.0,5.0,7.0,0.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Baghdatis M.,Chela J.I.,42.0,44.0,990.0,970.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,29/05/12,Grand Slam,Outdoor,Clay,1st Round,Blake J.,Youzhny M.,96.0,30.0,572.0,1210.0,2.0,6.0,1.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Djokovic N.,Kavcic B.,1.0,99.0,11800.0,557.0,6.0,0.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Del Potro J.M.,Roger-Vasselin E.,9.0,82.0,2910.0,625.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Cilic M.,Ferrero J.C.,24.0,41.0,1380.0,990.0,7.0,6.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,1.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Seppi A.,Kukushkin M.,25.0,53.0,1355.0,853.0,6.0,7.0,6.0,2.0,2.0,6.0,6.0,1.0,6.0,2.0,3.0,2.0,1.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Ungur A.,Federer R.,92.0,3.0,597.0,9790.0,3.0,6.0,2.0,6.0,7.0,6.0,3.0,6.0,,,1.0,3.0,0.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Devilder N.,Berrer M.,286.0,114.0,159.0,487.0,7.0,6.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,1.0
French Open,30/05/12,Grand Slam,Outdoor,Clay,2nd Round,Berdych T.,Llodra M.,7.0,57.0,4515.0,795.0,6.0,2.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,1.0
