Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Mayer L.,Struff J.L.,36.0,64.0,1235.0,865.0,6.0,3.0,7.0,6.0,6.0,7.0,6.0,7.0,1.0,6.0,2.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Cilic M.,Nishioka Y.,5.0,256.0,5060.0,217.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Krajinovic F.,Jarry N.,30.0,66.0,1489.0,859.0,3.0,6.0,6.0,3.0,6.0,7.0,4.0,6.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Kohlschreiber P.,Donskoy E.,27.0,83.0,1575.0,706.0,6.0,2.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Pouille L.,Kudla D.,19.0,84.0,1835.0,699.0,6.0,3.0,6.0,3.0,2.0,6.0,6.0,3.0,,,3.0,1.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Thompson J.,Querrey S.,101.0,13.0,575.0,2130.0,2.0,6.0,4.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Muller G.,Mmoh M.,60.0,119.0,915.0,459.0,7.0,5.0,4.0,6.0,7.0,6.0,3.0,6.0,6.0,1.0,3.0,2.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Novak D.,Polansky P.,171.0,110.0,338.0,495.0,6.0,2.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Stakhovsky S.,Sousa J.,109.0,45.0,513.0,1045.0,6.0,3.0,6.0,3.0,5.0,7.0,1.0,6.0,6.0,4.0,3.0,2.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Federer R.,Lajovic D.,2.0,58.0,8720.0,920.0,6.0,1.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Kubler J.,Pella G.,147.0,82.0,385.0,710.0,4.0,6.0,5.0,7.0,6.0,4.0,6.0,7.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Mcdonald M.,Berankis R.,103.0,96.0,554.0,599.0,4.0,6.0,7.0,6.0,6.0,3.0,7.0,6.0,,,3.0,1.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Youzhny M.,Karlovic I.,102.0,112.0,571.0,480.0,6.0,4.0,5.0,7.0,6.0,7.0,3.0,6.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Elias G.,Garcia-Lopez G.,118.0,65.0,460.0,863.0,2.0,6.0,4.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Medvedev D.,Coric B.,67.0,20.0,847.0,1745.0,7.0,6.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Broady L.,Raonic M.,173.0,32.0,328.0,1430.0,5.0,7.0,0.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Maden Y.,Isner J.,134.0,10.0,424.0,3045.0,2.0,6.0,6.0,7.0,5.0,7.0,,,,,0.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Bhambri Y.,Fabbiano T.,85.0,133.0,687.0,424.0,6.0,2.0,3.0,6.0,3.0,6.0,2.0,6.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Seppi A.,Smith J.P.,50.0,211.0,996.0,277.0,6.0,2.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Travaglia S.,Millman J.,137.0,56.0,409.0,931.0,7.0,6.0,3.0,6.0,5.0,7.0,2.0,6.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Wawrinka S.,Dimitrov G.,224.0,6.0,255.0,4780.0,1.0,6.0,7.0,6.0,7.0,6.0,6.0,4.0,,,3.0,1.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Barrere G.,Tsitsipas S.,188.0,35.0,302.0,1254.0,3.0,6.0,4.0,6.0,7.0,6.0,5.0,7.0,,,1.0,3.0,0.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Monfils G.,Gasquet R.,44.0,31.0,1070.0,1465.0,7.0,6.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Anderson K.,Gombos N.,8.0,190.0,3635.0,299.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Donaldson J.,Jaziri M.,54.0,61.0,945.0,912.0,7.0,6.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Bemelmans R.,Johnson S.,104.0,42.0,545.0,1085.0,7.0,5.0,6.0,3.0,4.0,6.0,6.0,7.0,8.0,6.0,3.0,2.0,1.0
Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,Lorenzi P.,Djere L.,86.0,90.0,668.0,648.0,7.0,6.0,6.0,7.0,6.0,2.0,6.0,4.0,,,3.0,1.0,1.0
