Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Travaglia S.,Thompson J.,87.0,63.0,684.0,829.0,3.0,6.0,4.0,6.0,6.0,4.0,2.0,6.0,,,1.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Andujar P.,Coric B.,56.0,32.0,942.0,1355.0,5.0,7.0,3.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Novak D.,Davidovich Fokina A.,85.0,99.0,695.0,627.0,6.0,3.0,4.0,6.0,3.0,6.0,6.0,1.0,0.0,6.0,2.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Coria F.,Jung J.,103.0,122.0,569.0,462.0,2.0,6.0,4.0,6.0,6.0,4.0,6.0,1.0,2.0,0.0,2.0,2.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Gerasimov E.,Lajovic D.,72.0,24.0,744.0,1695.0,6.0,1.0,4.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Londero J.I.,Donskoy E.,62.0,114.0,832.0,505.0,6.0,3.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Norrie C.,Schwartzman D.,76.0,13.0,727.0,2265.0,3.0,6.0,4.0,6.0,6.0,2.0,6.0,1.0,7.0,5.0,3.0,2.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Korda S.,Shapovalov D.,205.0,17.0,252.0,2075.0,4.0,6.0,6.0,4.0,3.0,6.0,2.0,6.0,,,1.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Sonego L.,Mannarino A.,46.0,39.0,1030.0,1191.0,1.0,6.0,4.0,6.0,6.0,2.0,3.0,6.0,,,1.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Zverev A.,Anderson K.,7.0,117.0,3630.0,490.0,7.0,6.0,5.0,7.0,6.0,3.0,7.0,5.0,,,3.0,1.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Carreno Busta P.,Uchiyama Y.,27.0,86.0,1500.0,685.0,4.0,6.0,6.0,3.0,1.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Cuevas P.,Sock J.,61.0,389.0,857.0,95.0,6.0,3.0,4.0,6.0,2.0,6.0,6.0,4.0,6.0,7.0,2.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Hurkacz H.,Gojowczyk P.,33.0,127.0,1353.0,444.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Simon G.,Safwat M.,52.0,135.0,970.0,407.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Sousa P.,Krueger M.,110.0,198.0,522.0,264.0,6.0,3.0,2.0,6.0,5.0,7.0,3.0,6.0,,,1.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Lorenzi P.,Nakashima B.,125.0,223.0,447.0,229.0,3.0,6.0,2.0,6.0,6.0,7.0,,,,,0.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Ramos-Vinolas A.,Tsitsipas S.,41.0,6.0,1130.0,5095.0,2.0,6.0,1.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Cressy M.,Kovalik J.,168.0,123.0,320.0,452.0,6.0,1.0,2.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Koepfer D.,Fritz T.,91.0,25.0,652.0,1545.0,7.0,6.0,3.0,6.0,2.0,6.0,4.0,6.0,,,1.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Polmans M.,Giron M.,121.0,96.0,462.0,639.0,4.0,6.0,7.0,6.0,6.0,3.0,4.0,6.0,2.0,6.0,2.0,3.0,0.0
US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,Kukushkin M.,Balazs A.,90.0,78.0,661.0,715.0,6.0,4.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Kwon S.W.,Kwiatkowski T.S.,73.0,187.0,742.0,281.0,3.0,6.0,7.0,6.0,6.0,1.0,6.0,2.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Berankis R.,Gaio F.,65.0,132.0,809.0,423.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Edmund K.,Bublik A.,44.0,54.0,1050.0,965.0,2.0,6.0,7.0,5.0,7.0,5.0,6.0,0.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Isner J.,Johnson S.,22.0,64.0,1805.0,825.0,7.0,6.0,3.0,6.0,7.0,6.0,3.0,6.0,6.0,7.0,2.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Opelka R.,Goffin D.,35.0,10.0,1312.0,2555.0,6.0,7.0,6.0,3.0,1.0,6.0,4.0,6.0,,,1.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Ymer M.,Krajinovic F.,71.0,26.0,759.0,1503.0,2.0,6.0,6.0,7.0,3.0,6.0,,,,,0.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Cecchinato M.,Harris L.,108.0,95.0,526.0,641.0,4.0,6.0,5.0,7.0,2.0,6.0,,,,,0.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Djokovic N.,Dzumhur D.,1.0,109.0,10860.0,524.0,6.0,1.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Struff J.L.,Martinez P.,29.0,106.0,1405.0,546.0,6.0,0.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Blanch U.,Garin C.,244.0,19.0,207.0,1900.0,6.0,4.0,7.0,5.0,4.0,6.0,4.0,6.0,2.0,6.0,2.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Sousa J.,Mmoh M.,68.0,186.0,776.0,281.0,2.0,6.0,5.0,7.0,6.0,2.0,1.0,6.0,,,1.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Kuznetsov An.,Querrey S.,34.0,45.0,1527.0,1045.0,6.0,4.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Nishioka Y.,Murray A.,49.0,115.0,1007.0,502.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,7.0,4.0,6.0,2.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Mcdonald M.,Ruud C.,243.0,37.0,207.0,1279.0,6.0,4.0,6.0,4.0,4.0,6.0,3.0,6.0,2.0,6.0,2.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Nagal S.,Klahn B.,124.0,129.0,448.0,436.0,6.0,1.0,6.0,3.0,3.0,6.0,6.0,1.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Ruusuvuori E.,Bedene A.,92.0,53.0,648.0,965.0,6.0,3.0,3.0,6.0,6.0,1.0,4.0,6.0,6.0,1.0,3.0,2.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Khachanov K.,Sinner J.,16.0,74.0,2120.0,733.0,3.0,6.0,6.0,7.0,6.0,2.0,6.0,0.0,7.0,6.0,3.0,2.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Thiem D.,Munar J.,3.0,105.0,7135.0,548.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Auger-Aliassime F.,Monteiro T.,21.0,83.0,1806.0,700.0,6.0,3.0,6.0,7.0,7.0,6.0,7.0,6.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Cilic M.,Kudla D.,38.0,111.0,1225.0,521.0,6.0,7.0,3.0,6.0,7.0,5.0,7.0,5.0,6.0,3.0,3.0,2.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Rublev A.,Chardy J.,14.0,60.0,2234.0,860.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Daniel T.,Barrere G.,112.0,93.0,511.0,647.0,3.0,6.0,4.0,6.0,6.0,3.0,1.0,6.0,,,1.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Gombos N.,Albot R.,104.0,70.0,550.0,772.0,6.0,4.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Evans D.,Seyboth Wild T.,31.0,113.0,1384.0,507.0,6.0,2.0,6.0,1.0,7.0,6.0,,,,,3.0,0.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Kohlschreiber P.,Pospisil V.,75.0,94.0,729.0,642.0,6.0,7.0,5.0,7.0,6.0,7.0,,,,,0.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Wolf J.J.,Pella G.,138.0,36.0,402.0,1310.0,6.0,2.0,0.0,6.0,6.0,3.0,6.0,3.0,,,3.0,1.0,1.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Lopez F.,Carballes Baena R.,57.0,101.0,908.0,614.0,6.0,3.0,6.0,7.0,4.0,6.0,3.0,6.0,,,1.0,3.0,0.0
US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,Bautista Agut R.,Sandgren T.,11.0,48.0,2540.0,1013.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Kecmanovic M.,Mager G.,47.0,80.0,1028.0,711.0,6.0,4.0,6.0,4.0,6.0,7.0,3.0,6.0,6.0,2.0,3.0,2.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Raonic M.,Mayer L.,18.0,120.0,1950.0,464.0,6.0,3.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Moutet C.,Vesely J.,77.0,67.0,722.0,785.0,6.0,4.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Dimitrov G.,Paul T.,20.0,58.0,1885.0,894.0,6.0,4.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,O Connell C.,Djere L.,116.0,81.0,498.0,705.0,4.0,6.0,6.0,4.0,7.0,6.0,6.0,4.0,,,3.0,1.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Fucsovics M.,Dellien H.,66.0,97.0,787.0,638.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Majchrzak K.,Escobedo E.,107.0,185.0,532.0,284.0,6.0,7.0,2.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Karlovic I.,Gasquet R.,126.0,51.0,444.0,985.0,6.0,7.0,6.0,7.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Tiafoe F.,Seppi A.,82.0,89.0,700.0,671.0,4.0,6.0,6.0,3.0,6.0,4.0,7.0,5.0,,,3.0,1.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,De Minaur A.,Martin A.,28.0,98.0,1485.0,638.0,6.0,4.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Berrettini M.,Soeda G.,8.0,119.0,2940.0,480.0,7.0,6.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Duckworth J.,Caruso S.,84.0,100.0,697.0,623.0,6.0,4.0,5.0,7.0,5.0,7.0,2.0,6.0,,,1.0,3.0,0.0
US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,Millman J.,Basilashvili N.,43.0,30.0,1096.0,1395.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
