ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Travaglia S.,63,87,829,684,6,3,6,4,4,6,6,2,,,3,1,Completed,1.53,2.5,1.71,2.28,1.71,2.53,1.6,2.33
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Andujar P.,32,56,1355,942,7,5,6,3,6,1,,,,,3,0,Completed,1.11,6.5,1.13,7.25,1.14,7.9,1.11,6.57
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Novak D.,99,85,627,695,3,6,6,4,6,3,1,6,6,0,3,2,Completed,2.62,1.5,2.41,1.64,2.64,1.64,2.46,1.55
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Coria F.,Jung J.,103,122,569,462,2,6,4,6,6,4,6,1,2,0,2,2,Retired,3.75,1.28,3.71,1.32,4.25,1.33,3.61,1.29
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gerasimov E.,Lajovic D.,72,24,744,1695,6,1,4,6,6,4,6,4,,,3,1,Completed,2.2,1.66,2.18,1.77,2.26,1.77,2.17,1.69
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Londero J.I.,Donskoy E.,62,114,832,505,6,3,6,3,7,5,,,,,3,0,Completed,1.57,2.37,1.63,2.43,1.63,2.49,1.59,2.36
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Schwartzman D.,76,13,727,2265,3,6,4,6,6,2,6,1,7,5,3,2,Completed,3.5,1.3,3.53,1.35,3.74,1.35,3.43,1.31
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Korda S.,17,205,2075,252,6,4,4,6,6,3,6,2,,,3,1,Completed,1.11,6.5,1.13,7.17,1.16,7.45,1.12,6.5
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Sonego L.,39,46,1191,1030,6,1,6,4,2,6,6,3,,,3,1,Completed,1.66,2.2,1.62,2.45,1.69,2.45,1.6,2.34
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Anderson K.,7,117,3630,490,7,6,5,7,6,3,7,5,,,3,1,Completed,1.33,3.4,1.31,3.83,1.34,3.9,1.29,3.61
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Uchiyama Y.,27,86,1500,685,4,6,6,3,1,6,6,3,6,3,3,2,Completed,1.16,5,1.12,7.48,1.18,7.95,1.11,6.72
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Cuevas P.,389,61,95,857,3,6,6,4,6,2,4,6,7,6,3,2,Completed,1.57,2.37,1.64,2.41,1.65,2.45,1.61,2.32
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Gojowczyk P.,33,127,1353,444,6,3,6,4,6,4,,,,,3,0,Completed,1.22,4.33,1.21,5.05,1.23,5.05,1.2,4.57
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Safwat M.,52,135,970,407,6,1,6,4,6,4,,,,,3,0,Completed,1.2,4.5,1.21,5.06,1.22,5.5,1.18,4.82
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Krueger M.,Sousa P.,198,110,264,522,3,6,6,2,7,5,6,3,,,3,1,Completed,1.16,5,1.18,5.57,1.2,6.35,1.17,5.17
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nakashima B.,Lorenzi P.,223,125,229,447,6,3,6,2,7,6,,,,,3,0,Completed,1.2,4.5,1.18,5.59,1.23,5.59,1.2,4.65
19,New York,US Open,31/08/2020,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Ramos-Vinolas A.,6,41,5095,1130,6,2,6,1,6,1,,,,,3,0,Completed,1.02,19,1.02,25.2,1.03,25.2,1.02,17.2
