ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Barrere G.,29,122,1933,644,6,4,6,1,6,4,,,,,3,0,Completed,1.25,4,1.27,4.26,1.32,4.26,1.27,3.8
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Carreno Busta P.,Gombos N.,12,81,3085,912,6,3,6,4,6,3,,,,,3,0,Completed,1.12,6,1.13,7.01,1.19,7.01,1.13,6.09
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Couacaud E.,Gerasimov E.,177,79,400,937,7,6,6,4,6,3,,,,,3,0,Completed,1.66,2.2,1.71,2.27,1.71,2.52,1.61,2.33
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Laaksonen H.,Hanfmann Y.,150,96,498,822,6,1,6,3,4,6,6,2,,,3,1,Completed,2.1,1.72,2.41,1.64,2.45,1.94,2.21,1.68
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Bautista Agut R.,Vilella Martinez M.,11,183,3215,393,6,4,6,4,6,2,,,,,3,0,Completed,1.12,6,1.11,8.04,1.14,10.75,1.09,7.67
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Pella G.,Galan D.E.,61,107,1114,764,6,3,7,6,7,5,,,,,3,0,Completed,3.2,1.36,3.4,1.37,3.4,1.44,3.15,1.36
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Kecmanovic M.,Evans D.,48,27,1384,2195,1,6,6,3,6,3,6,4,,,3,1,Completed,2.5,1.53,2.37,1.66,2.88,1.66,2.46,1.55
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Andujar P.,Thiem D.,68,4,1020,8445,4,6,5,7,6,3,6,4,6,4,3,2,Completed,7,1.1,9.48,1.09,10,1.11,7.73,1.09
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Khachanov K.,Vesely J.,25,71,2280,976,6,1,6,2,6,3,,,,,3,0,Completed,1.3,3.5,1.24,4.6,1.32,4.6,1.23,4.17
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Fucsovics M.,Simon G.,44,69,1456,995,6,4,6,1,7,6,,,,,3,0,Completed,1.1,7,1.13,7.35,1.13,7.5,1.11,6.79
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Giannessi A.,49,159,1318,458,6,4,6,7,6,3,4,6,6,4,3,2,Completed,1.12,6,1.15,6.34,1.16,8,1.12,6.29
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Garin C.,Londero J.I.,23,102,2350,793,3,6,6,4,7,6,6,2,,,3,1,Completed,1.06,10,1.08,10.16,1.09,13,1.06,9.57
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Mcdonald M.,Ruusuvuori E.,119,75,675,951,4,6,6,3,7,6,6,3,,,3,1,Completed,1.3,3.5,1.31,3.83,1.41,4,1.3,3.59
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Giron M.,Dimitrov G.,84,17,900,2521,2,6,4,6,7,5,3,0,,,1,2,Retired,4,1.25,5.07,1.21,5.07,1.26,4.52,1.21
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Djere L.,Moutet C.,55,73,1168,968,6,3,6,7,7,6,7,5,,,3,1,Completed,1.8,2,1.81,2.11,1.87,2.25,1.77,2.05
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Otte O.,6,152,6990,485,3,6,3,6,6,2,6,2,6,0,3,2,Completed,1.04,13,1.05,14.47,1.05,18,1.03,12.73
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Davidovich Fokina A.,Kukushkin M.,46,106,1408,772,6,4,6,4,6,3,,,,,3,0,Completed,1.03,15,1.04,14.9,1.05,17.75,1.03,12.7
30,Paris,French Open,30/05/2021,Grand Slam,Outdoor,Clay,1st Round,5,Safiullin R.,Taberner C.,182,137,393,555,7,6,1,6,6,0,6,2,,,3,1,Completed,3.75,1.28,3.88,1.3,4.9,1.32,3.79,1.27
