ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Wu Y.,62,114,790,494,6,4,5,7,6,2,4,6,7,5,3,2,Completed,2.38,1.57,2.4,1.65,2.4,1.66,2.33,1.61
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Watanuki Y.,Rinderknech A.,138,59,413,807,6,3,6,3,6,2,,,,,3,0,Completed,2.3,1.62,2.18,1.77,2.45,1.77,2.28,1.64
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Van De Zandschulp B.,Ivashka I.,34,73,1205,705,6,3,3,6,7,5,6,3,,,3,1,Completed,1.36,3.2,1.47,2.91,1.52,3.3,1.39,3.03
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Barrere G.,79,83,649,635,3,6,6,3,6,4,6,4,,,3,1,Completed,2.3,1.62,2.43,1.63,2.55,1.67,2.36,1.6
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Edmund K.,16,581,2375,52,6,4,6,0,6,2,,,,,3,0,Completed,1.06,10,1.05,15.72,1.07,15.72,1.05,11.18
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Pella G.,29,181,1383,318,6,4,6,4,6,3,,,,,3,0,Completed,1.13,6,1.17,6.06,1.2,6.06,1.15,5.58
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Otte O.,194,74,289,701,6,2,6,4,6,7,7,5,,,3,1,Completed,2.75,1.44,2.86,1.48,3,1.5,2.79,1.44
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Martinez P.,11,60,2860,801,7,6,6,2,6,2,,,,,3,0,Completed,1.06,10,1.06,13.22,1.06,13.22,1.05,10.6
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Garin C.,31,87,1325,606,6,4,1,6,6,3,6,2,,,3,1,Completed,1.08,8,1.1,9.05,1.11,9.25,1.08,8.1
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Ymer M.,33,69,1212,751,6,4,6,2,7,5,,,,,3,0,Completed,1.91,1.91,2.02,1.88,2.04,2,1.94,1.86
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Lajovic D.,22,86,1830,626,6,4,4,6,6,4,6,1,,,3,1,Completed,1.08,8,1.09,9.82,1.1,9.82,1.08,8.01
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Griekspoor T.,Kotov P.,63,117,789,483,6,3,7,6,6,3,,,,,3,0,Completed,1.36,3.2,1.42,3.1,1.42,3.4,1.37,3.13
5,Melbourne,Australian Open,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Nakashima B.,65,49,775,902,7,6,7,6,1,6,6,7,6,4,3,2,Completed,2.5,1.53,2.59,1.56,2.72,1.6,2.54,1.52
