,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Cachin P.,Shelton B.,66.0,47.0,822.0,1015.0,6.0,1.0,3.0,6.0,2.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0
1,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Borges N.,Ofner S.,79.0,58.0,754.0,868.0,6.0,7.0,6.0,3.0,6.0,7.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,3.0
2,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Wolf J.J.,Zhang Zh.,45.0,67.0,1025.0,817.0,5.0,7.0,5.0,7.0,7.0,6.0,6.0,4.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,3.0
3,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Ivashka I.,Cerundolo J.M.,103.0,93.0,571.0,630.0,6.0,2.0,7.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0
4,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Gasquet R.,Marozsan F.,55.0,92.0,915.0,635.0,3.0,6.0,1.0,6.0,7.0,6.0,7.0,6.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,104.0,59.0,0.0,0.0,0.0,0.0,0.0
5,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Watanuki Y.,Mannarino A.,85.0,35.0,686.0,1206.0,5.0,7.0,7.0,6.0,3.0,6.0,5.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.0,50.0
6,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Bublik A.,Thiem D.,27.0,81.0,1384.0,726.0,3.0,6.0,2.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,74.0,32.0
7,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Giron M.,Davidovich Fokina A.,62.0,21.0,850.0,1525.0,4.0,6.0,4.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,16.0,11.0
8,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Rune H.,Carballes Baena R.,4.0,63.0,4790.0,840.0,3.0,6.0,6.0,4.0,3.0,6.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,10.0,19.0
9,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Nava E.,Ruud C.,154.0,5.0,402.0,4715.0,6.0,7.0,6.0,3.0,4.0,6.0,6.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,33.0,16.0
10,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Tiafoe F.,Tien L.,10.0,700.0,3050.0,39.0,6.0,2.0,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,28.0,26.0,0.0,0.0,0.0,0.0,1.0
11,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Mensik J.,Barrere G.,206.0,59.0,305.0,864.0,6.0,4.0,4.0,6.0,7.0,6.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0
12,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Nakashima B.,Djere L.,68.0,38.0,815.0,1110.0,5.0,7.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,8.0,20.0
13,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Kotov P.,Hijikata R.,98.0,110.0,603.0,547.0,5.0,7.0,7.0,5.0,3.0,6.0,5.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
14,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Korda S.,Fucsovics M.,31.0,57.0,1330.0,898.0,6.0,7.0,6.0,4.0,6.0,7.0,6.0,4.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,22.0,22.0
15,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Cerundolo F.,Svajda Z.,20.0,234.0,1600.0,271.0,5.0,7.0,6.0,4.0,6.0,4.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0
16,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Kecmanovic M.,Varillas J.P.,46.0,74.0,1020.0,779.0,6.0,1.0,5.0,7.0,5.0,7.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,3.0,1.0
17,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Vesely J.,Couacaud E.,437.0,180.0,104.0,340.0,5.0,7.0,6.0,3.0,6.0,2.0,3.0,6.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,22.0,34.0,0.0,0.0,0.0,2.0,3.0
18,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,Droguet T.,Musetti L.,171.0,18.0,359.0,2005.0,6.0,3.0,0.0,6.0,6.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0
